Group	Skill	Cap	Points
Navigation	Acceleration Control	3	32000
Engineering	Advanced Weapon Upgrades	3	48000
Navigation	Afterburner	3	8000
Spaceship Command	Amarr Battlecruiser	4	271529
Spaceship Command	Amarr Battleship	4	362039
Spaceship Command	Amarr Cruiser	4	226274
Spaceship Command	Amarr Destroyer	4	90510
Drones	Amarr Drone Specialization	2	7071
Spaceship Command	Amarr Frigate	4	90510
Spaceship Command	Amarr Industrial	1	1000
Structure Management	Anchoring	1	750
Scanning	Archaeology	3	24000
Armor	Armor Layering	1	750
Rigging	Armor Rigging	3	24000
Scanning	Astrometric Acquisition	2	7071
Scanning	Astrometric Rangefinding	2	11314
Scanning	Astrometrics	3	24000
Rigging	Astronautics Rigging	3	24000
Neural Enhancement	Biology	3	8000
Trade	Broker Relations	2	2828
Spaceship Command	Caldari Battlecruiser	4	271529
Spaceship Command	Caldari Battleship	4	362039
Spaceship Command	Caldari Cruiser	4	226274
Spaceship Command	Caldari Destroyer	4	90510
Drones	Caldari Drone Specialization	2	7071
Spaceship Command	Caldari Frigate	4	90510
Spaceship Command	Caldari Industrial	1	1000
Engineering	Capacitor Emission Systems	4	90510
Engineering	Capacitor Management	4	135765
Engineering	Capacitor Systems Operation	3	8000
Social	Connections	2	4243
Gunnery	Controlled Bursts	4	90510
Corporation Management	Corporation Management	1	250
Engineering	CPU Management	5	256000
Social	Criminal Connections	2	4243
Missiles	Cruise Missiles	4	226274
Neural Enhancement	Cybernetics	3	24000
Social	Diplomacy	3	8000
Social	Distribution Connections	2	2828
Drones	Drone Avionics	4	45255
Drones	Drone Durability	4	226274
Drones	Drone Interfacing	4	226274
Drones	Drone Navigation	4	45255
Drones	Drone Sharpshooting	4	45255
Drones	Drones	5	256000
Rigging	Drones Rigging	3	24000
Rigging	Electronic Superiority Rigging	3	24000
Electronic Systems	Electronic Warfare	4	90510
Engineering	Electronics Upgrades	5	512000
Armor	EM Armor Compensation	2	2828
Shields	EM Shield Compensation	2	2828
Engineering	Energy Grid Upgrades	5	512000
Engineering	Energy Pulse Weapons	2	2828
Rigging	Energy Weapon Rigging	3	24000
Navigation	Evasive Maneuvering	3	16000
Armor	Explosive Armor Compensation	2	2828
Shields	Explosive Shield Compensation	2	2828
Spaceship Command	Gallente Battlecruiser	4	271529
Spaceship Command	Gallente Battleship	4	362039
Spaceship Command	Gallente Cruiser	4	226274
Spaceship Command	Gallente Destroyer	4	90510
Drones	Gallente Drone Specialization	2	7071
